comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Agujon,Ablennes hians,species,Ablennes hians,Flat needlefish,fish,Actinopterygii,Beloniformes,Belonidae,Ablennes
Mulegino,Abudefduf troschelii,species,Abudefduf troschelii,Panamic sergeant major,fish,Actinopterygii,Perciformes,Pomacentridae,Abudefduf
Peto,Acanthocybium solandri,species,Acanthocybium solandri,Wahoo,fish,Actinopterygii,Perciformes,Scombridae,Acanthocybium
Barbero,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Yellowfin surgeonfish,fish,Actinopterygii,Perciformes,Acanthuridae,Acanthurus
Cirujano,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Yellowfin surgeonfish,fish,Actinopterygii,Perciformes,Acanthuridae,Acanthurus
Tepalcate,Achirus mazatlanus,species,Achirus mazatlanus,Mazatlan sole,fish,Actinopterygii,Pleuronectiformes,Achiridae,Achirus
San pedro,Actinopterygii,group,Actinopterygii,NA,NA,NA,NA,NA,NA
Gavilan,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Bala,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Chucho,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Raya cubanita,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Obispo,Aetobatus narinari,species,Aetobatus narinari,Spotted eagle ray,fish,Elasmobranchii,Myliobatiformes,Aetobatidae,Aetobatus
Macabi,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Quijo,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Macabi de agua dulce,Albula sp,group,Albula sp,NA,NA,NA,NA,NA,NA
Tiburon coludo,Alopias sp,group,Alopias sp,NA,NA,NA,NA,NA,NA
Tiburon zorro,Alopias sp,group,Alopias sp,NA,NA,NA,NA,NA,NA
Grillo,Alopias superciliosus,species,Alopias superciliosus,Bigeye thresher,fish,Elasmobranchii,Lamniformes,Alopiidae,Alopias
Grillo,Alopias vulpinus,species,Alopias vulpinus,Thresher,fish,Elasmobranchii,Lamniformes,Alopiidae,Alopias
Guaseta,Alphestes immaculatus,species,Alphestes immaculatus,Pacific mutton hamlet,fish,Actinopterygii,Perciformes,Serranidae,Alphestes
Almeja pata de mula,Anadara sp,group,Anadara sp,NA,NA,NA,NA,NA,NA
Anchoa,Anchoa sp,group,Anchoa sp,NA,NA,NA,NA,NA,NA
Mojarra piedrera,Anisotremus davidsonii,species,Anisotremus davidsonii,Xantic sargo,fish,Actinopterygii,Perciformes,Haemulidae,Anisotremus
Burriquete,Anisotremus sp,group,Anisotremus sp,NA,NA,NA,NA,NA,NA
Bacalao,Anoplopoma fimbria,species,Anoplopoma fimbria,Sablefish,fish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma
Bacalao negro,Anoplopoma fimbria,species,Anoplopoma fimbria,Sablefish,fish,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma
Coral blanco,Anthozoa,group,Anthozoa,NA,NA,NA,NA,NA,NA
Coral rosa,Anthozoa,group,Anthozoa,NA,NA,NA,NA,NA,NA
Ostion de mangle,Antipathes galapagensis,species,Antipathes galapagensis,NA,invert,Anthozoa,Antipatharia,Antipathidae,Antipathes
Almeja catarina,Argopecten circularis,species,Argopecten irradians concentricus,NA,NA,NA,NA,NA,NA
Chihuil,Ariidae,group,Ariidae,NA,NA,NA,NA,NA,NA
Cuatete,Ariopsis guatemalensis,species,Ariopsis guatemalensis,Blue sea catfish,fish,Actinopterygii,Siluriformes,Ariidae,Ariopsis
Botete amarillo,Arothron meleagris,species,Arothron meleagris,Guineafowl puffer,fish,Actinopterygii,Tetraodontiformes,Tetraodontidae,Arothron
Botete negro,Arothron meleagris,species,Arothron meleagris,Guineafowl puffer,fish,Actinopterygii,Tetraodontiformes,Tetraodontidae,Arothron
Estrella de mar,Asteroidea,group,Asteroidea,NA,NA,NA,NA,NA,NA
Caracol panocha,Astraea undosa,species,Megastraea undosa,Wavy turban,invert,Gastropoda,Patellogastropoda,Turbinidae,Megastraea
Pescadilla,Atherinops affinis,species,Atherinops affinis,Topsmelt silverside,fish,Actinopterygii,Atheriniformes,Atherinopsidae,Atherinops
Pejerey,Atherinopsis californiensis,species,Atherinopsis californiensis,Jack silverside,fish,Actinopterygii,Atheriniformes,Atherinopsidae,Atherinopsis
Pejefuerte,Atherinopsis californiensis,species,Atherinopsis californiensis,Jack silverside,fish,Actinopterygii,Atheriniformes,Atherinopsidae,Atherinopsis
Hacha china,Atrina maura,species,Atrina maura,Maura pen shell,NA,NA,NA,NA,NA
Cochi,Balistes polylepis,species,Balistes polylepis,Finescale triggerfish,fish,Actinopterygii,Tetraodontiformes,Balistidae,Balistes
Pez puerco,Balistes polylepis,species,Balistes polylepis,Finescale triggerfish,fish,Actinopterygii,Tetraodontiformes,Balistidae,Balistes
Bota,Balistes polylepis,species,Balistes polylepis,Finescale triggerfish,fish,Actinopterygii,Tetraodontiformes,Balistidae,Balistes
Mapo,Bathygobius ramosus,species,Bathygobius ramosus,Panamic frillfin,fish,Actinopterygii,Perciformes,Gobiidae,Bathygobius
Raya,Batoidea,group,Batoidea,NA,NA,NA,NA,NA,NA
Raya blanca,Batoidea,group,Batoidea,NA,NA,NA,NA,NA,NA
Raya chata,Batoidea,group,Batoidea,NA,NA,NA,NA,NA,NA
Pez sapo,Batrachoididae,group,Batrachoididae,NA,NA,NA,NA,NA,NA
Gallineta,Bellator gymnostethus,species,Bellator gymnostethus,Naked-belly searobin,fish,Actinopterygii,Scorpaeniformes,Triglidae,Bellator
Almeja,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Almeja purpura,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Almeja manila,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Almeja gallito,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Almeja concha espina,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Almeja de agua dulce,Bivalvia,group,Bivalvia,NA,NA,NA,NA,NA,NA
Vieja,Bodianus diplotaenia,species,Bodianus diplotaenia,Mexican hogfish,fish,Actinopterygii,Perciformes,Labridae,Bodianus
Cangrejo,Brachyura,group,Brachyura,NA,NA,NA,NA,NA,NA
Cangrejo gallo,Brachyura,group,Brachyura,NA,NA,NA,NA,NA,NA
Cangrejo azul,Brachyura,group,Brachyura,NA,NA,NA,NA,NA,NA
Cangrejo de agua dulce,Brachyura,group,Brachyura,NA,NA,NA,NA,NA,NA
Cangrejo rey,Brachyura,group,Brachyura,NA,NA,NA,NA,NA,NA
Lanceta,Branchiostoma lanceolatum,species,Branchiostoma lanceolatum,NA,invert,Cephalochordata,Not assigned,Branchiostomidae,Branchiostoma
Lengua,Brotula clarkae,species,Brotula clarkae,Pacific bearded brotula,fish,Actinopterygii,Ophidiiformes,Ophidiidae,Brotula
Huarache,Brotula clarkae,species,Brotula clarkae,Pacific bearded brotula,fish,Actinopterygii,Ophidiiformes,Ophidiidae,Brotula
Mojarron,Calamus brachysomus,species,Calamus brachysomus,Pacific porgy,fish,Actinopterygii,Perciformes,Sparidae,Calamus
Mojarra mueluda,Calamus brachysomus,species,Calamus brachysomus,Pacific porgy,fish,Actinopterygii,Perciformes,Sparidae,Calamus
Mojarra guapota,Calamus brachysomus,species,Calamus brachysomus,Pacific porgy,fish,Actinopterygii,Perciformes,Sparidae,Calamus
Mojarra camaronera,Calamus brachysomus,species,Calamus brachysomus,Pacific porgy,fish,Actinopterygii,Perciformes,Sparidae,Calamus
Mojarra garabata,Calamus brachysomus,species,Calamus brachysomus,Pacific porgy,fish,Actinopterygii,Perciformes,Sparidae,Calamus
Cangrejo bola,Calappa convexa,species,Calappa convexa,Shame faced crab,invert,Malacostraca,Decapoda,Calappidae,Calappa
Cangrejo moro,Calappa sp,group,Calappa sp,NA,NA,NA,NA,NA,NA
Jaibon,Callinectes bellicosus,species,Callinectes bellicosus,Warrior swimcrab,invert,Malacostraca,Decapoda,Portunidae,Callinectes
Jaiba,Callinectes sp,group,Callinectes sp,NA,NA,NA,NA,NA,NA
Jaiba pata colorada,Callinectes sp,group,Callinectes sp,NA,NA,NA,NA,NA,NA
Jurel,Carangidae,group,Carangidae,NA,NA,NA,NA,NA,NA
Cocinero,Carangidae,group,Carangidae,NA,NA,NA,NA,NA,NA
Chancla,Carangidae,group,Carangidae,NA,NA,NA,NA,NA,NA
Cojinuda,Carangidae,group,Carangidae,NA,NA,NA,NA,NA,NA
Chicharro,Carangidae,group,Carangidae,NA,NA,NA,NA,NA,NA
Pampano de hebra,Carangoides otrynter,species,Carangoides otrynter,Threadfin jack,fish,Actinopterygii,Perciformes,Carangidae,Carangoides
Bonito,Caranx caballus,species,Caranx caballus,Green jack,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Jorobado,Caranx lugubris,species,Caranx lugubris,Black jack,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Jurel negro,Caranx lugubris,species,Caranx lugubris,Black jack,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Jurel prieto,Caranx lugubris,species,Caranx lugubris,Black jack,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Pampano,Caranx orthogrammus,species,Carangoides orthogrammus,Island trevally,fish,Actinopterygii,Perciformes,Carangidae,Carangoides
Ojoton,Caranx sexfasciatus,species,Caranx sexfasciatus,Bigeye trevally,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Ojo de perra,Caranx sexfasciatus,species,Caranx sexfasciatus,Bigeye trevally,fish,Actinopterygii,Perciformes,Carangidae,Caranx
Jurelete,Caranx sp,group,Caranx sp,NA,NA,NA,NA,NA,NA
Tiburon colorado,Carcharhinus altimus,species,Carcharhinus altimus,Bignose shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon sedoso,Carcharhinus falciformis,species,Carcharhinus falciformis,Silky shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon tunero,Carcharhinus falciformis,species,Carcharhinus falciformis,Silky shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon prieto,Carcharhinus falciformis,species,Carcharhinus falciformis,Silky shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon toro,Carcharhinus leucas,species,Carcharhinus leucas,Bull shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon chato,Carcharhinus leucas,species,Carcharhinus leucas,Bull shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon batea,Carcharhinus leucas,species,Carcharhinus leucas,Bull shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon volador,Carcharhinus limbatus,species,Carcharhinus limbatus,Blacktip shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Puntinegro,Carcharhinus limbatus,species,Carcharhinus limbatus,Blacktip shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Isala,Carcharhinus limbatus,species,Carcharhinus limbatus,Blacktip shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Jaqueton,Carcharhinus limbatus,species,Carcharhinus limbatus,Blacktip shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon aleta blanca,Carcharhinus longimanus,species,Carcharhinus longimanus,Oceanic whitetip shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon aleta carton,Carcharhinus plumbeus,species,Carcharhinus plumbeus,Sandbar shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon poroso,Carcharhinus porosus,species,Carcharhinus porosus,Smalltail shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus
Tiburon lobero,Carcharhinus sp,group,Carcharhinus sp,NA,NA,NA,NA,NA,NA
Conejo,Caulolatilus affinis,species,Caulolatilus affinis,Bighead tilefish,fish,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus
Salmon,Caulolatilus affinis,species,Caulolatilus affinis,Bighead tilefish,fish,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus
Arepa,Caulolatilus affinis,species,Caulolatilus affinis,Bighead tilefish,fish,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus
Pierna,Caulolatilus princeps,species,Caulolatilus princeps,Ocean whitefish,fish,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus
Blanquillo,Caulolatilus sp,group,Caulolatilus sp,NA,NA,NA,NA,NA,NA
Chucumite de agua dulce,Centropomidae,group,Centropomidae,NA,NA,NA,NA,NA,NA
Chucumite,Centropomus armatus,species,Centropomus armatus,Armed snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Armado,Centropomus armatus,species,Centropomus armatus,Armed snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Paleta,Centropomus medius,species,Centropomus medius,Blackfin snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Robalo prieto,Centropomus poeyi,species,Centropomus poeyi,Mexican snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Pijolin,Centropomus robalito,species,Centropomus robalito,Yellowfin snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Robalo aleta amarilla,Centropomus robalito,species,Centropomus robalito,Yellowfin snook,fish,Actinopterygii,Perciformes,Centropomidae,Centropomus
Robalo,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Constantino,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Robalo blanco,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Machin,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Robalete,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Robalo rayado,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Robalo de agua dulce,Centropomus sp,group,Centropomus sp,NA,NA,NA,NA,NA,NA
Sardina bocona,Cetengraulis mysticetus,species,Cetengraulis mysticetus,Pacific anchoveta,fish,Actinopterygii,Clupeiformes,Engraulidae,Cetengraulis
Boqueron,Cetengraulis mysticetus,species,Cetengraulis mysticetus,Pacific anchoveta,fish,Actinopterygii,Clupeiformes,Engraulidae,Cetengraulis
Mona,Chaetodipterus zonatus,species,Chaetodipterus zonatus,Pacific spadefish,fish,Actinopterygii,Perciformes,Ephippidae,Chaetodipterus
Sabalo,Chanos chanos,species,Chanos chanos,Milkfish,fish,Actinopterygii,Gonorynchiformes,Chanidae,Chanos
Sabalote,Chanos chanos,species,Chanos chanos,Milkfish,fish,Actinopterygii,Gonorynchiformes,Chanidae,Chanos
Tortuga,Chelonidae,group,Chelonidae,NA,NA,NA,NA,NA,NA
Langosta de agua dulce,Cherax quadicarinatus,species,Cherax quadricarinatus,NA,NA,NA,NA,NA,NA
Almeja ronosa,Chione cdifomiensis,species,Chione cdifomiensis,NA,NA,NA,NA,NA,NA
Almeja arenera,Chione sp,group,Chione sp,NA,NA,NA,NA,NA,NA
Almeja raya,Chione sp,group,Chione sp,NA,NA,NA,NA,NA,NA
Charal,Chirostoma sp,group,Chirostoma sp,NA,NA,NA,NA,NA,NA
Charchina,Chirostoma sp,group,Chirostoma sp,NA,NA,NA,NA,NA,NA
Catalineta,Chloroscombrus orqueta,species,Chloroscombrus orqueta,Pacific bumper,fish,Actinopterygii,Perciformes,Carangidae,Chloroscombrus
Sardina,Clupeidae,group,Clupeidae,NA,NA,NA,NA,NA,NA
Sardina escamuda,Clupeidae,group,Clupeidae,NA,NA,NA,NA,NA,NA
Arenque,Clupeidae,group,Clupeidae,NA,NA,NA,NA,NA,NA
Sardina de agua dulce,Clupeidae,group,Clupeidae,NA,NA,NA,NA,NA,NA
Galleta de mar,Clypeasteroida,group,Clypeasteroida,NA,NA,NA,NA,NA,NA
Congrio,Congridae,group,Congridae,NA,NA,NA,NA,NA,NA
Ronco de yodo,Conodon nobilis,species,Conodon nobilis,Barred grunt,fish,Actinopterygii,Perciformes,Haemulidae,Conodon
Dorado,Coryphaena hippurus,species,Coryphaena hippurus,Common dolphinfish,fish,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena
Doradilla,Coryphaena hippurus,species,Coryphaena hippurus,Common dolphinfish,fish,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena
Ostion de placer,Crassostrea corteziensis,species,Crassostrea corteziensis,Cortez oyster,invert,Bivalvia,Ostreoida,Ostreidae,Crassostrea
Ostion japones,Crassostrea gigas,species,Crassostrea gigas,Giant cupped oyster,invert,Bivalvia,Ostreoida,Ostreidae,Crassostrea
Ostion de roca,Crassostrea iridescens,species,Striostrea prismatica,Stone oyster,NA,NA,NA,NA,NA
Pez luna,Crassostrea rhizophorae,species,Crassostrea rhizophorae,Mangrove cupped oyster,invert,Bivalvia,Ostreoida,Ostreidae,Crassostrea
Sargo,Crassostrea rhizophorae,species,Crassostrea rhizophorae,Mangrove cupped oyster,invert,Bivalvia,Ostreoida,Ostreidae,Crassostrea
Corvina golfina,Cynoscion othonopterus,species,Cynoscion othonopterus,Gulf weakfish,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina azul,Cynoscion parvipinnis,species,Cynoscion parvipinnis,Shortfin weakfish,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina aleta corta,Cynoscion parvipinnis,species,Cynoscion parvipinnis,Shortfin weakfish,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina blanca,Cynoscion reticulatus,species,Cynoscion reticulatus,Striped corvina,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina graniza,Cynoscion reticulatus,species,Cynoscion reticulatus,Striped corvina,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina rayada,Cynoscion reticulatus,species,Cynoscion reticulatus,Striped corvina,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Trucha de agua marina,Cynoscion reticulatus,species,Cynoscion reticulatus,Striped corvina,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Corvina,Cynoscion sp,group,Cynoscion sp,NA,NA,NA,NA,NA,NA
Corvina plateada,Cynoscion sp,group,Cynoscion sp,NA,NA,NA,NA,NA,NA
Corvina seca,Cynoscion sp,group,Cynoscion sp,NA,NA,NA,NA,NA,NA
Corvina pinta,Cynoscion sp,group,Cynoscion sp,NA,NA,NA,NA,NA,NA
Corvina aleta amarilla,Cynoscion xanthulus,species,Cynoscion xanthulus,Orangemouth weakfish,fish,Actinopterygii,Perciformes,Sciaenidae,Cynoscion
Carpa comun,Cyprinus carpio,species,Cyprinus carpio,Common carp,fish,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus
Carpa barrigona,Cyprinus carpio,species,Cyprinus carpio,Common carp,fish,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus
Carpa espejo,Cyprinus carpio,species,Cyprinus carpio,Common carp,fish,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus
Carpa negra,Cyprinus carpio,species,Cyprinus carpio,Common carp,fish,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus
Carpa herbivora,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa de israel,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa plateada,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa dorada,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa cueruda,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa cabezona,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Carpa hocicona,Cyprinus sp,group,Cyprinus sp,NA,NA,NA,NA,NA,NA
Jurel fino,Decapterus muroadsi,species,Decapterus muroadsi,Amberstripe scad,fish,Actinopterygii,Perciformes,Carangidae,Decapterus
Cabrilla de cuero,Dermatolepis dermatolepis,species,Dermatolepis dermatolepis,Leather bass,fish,Actinopterygii,Perciformes,Serranidae,Dermatolepis
Mojarra aleta amarilla,Diapterus peruvianus,species,Diapterus peruvianus,Peruvian mojarra,fish,Actinopterygii,Perciformes,Gerreidae,Diapterus
Mojarra peineta,Diapterus peruvianus,species,Diapterus peruvianus,Peruvian mojarra,fish,Actinopterygii,Perciformes,Gerreidae,Diapterus
Cabaicucho,Diplectrum pacificum,species,Diplectrum pacificum,Inshore sand perch,fish,Actinopterygii,Perciformes,Serranidae,Diplectrum
Serrano,Diplectrum pacificum,species,Diplectrum pacificum,Inshore sand perch,fish,Actinopterygii,Perciformes,Serranidae,Diplectrum
Raya electrica,Diplobatis ommata,species,Diplobatis ommata,Ocellated electric ray,fish,Elasmobranchii,Torpediniformes,Narcinidae,Diplobatis
Popoyote,Dormitator latifrons,species,Dormitator latifrons,Pacific fat sleeper,fish,Actinopterygii,Perciformes,Eleotridae,Dormitator
Guabina,Dormitator latifrons,species,Dormitator latifrons,Pacific fat sleeper,fish,Actinopterygii,Perciformes,Eleotridae,Dormitator
Guabina de agua dulce,Dormitator latifrons,species,Dormitator latifrons,Pacific fat sleeper,fish,Actinopterygii,Perciformes,Eleotridae,Dormitator
Popocha,Dorosoma smithi,species,Dorosoma smithi,Pacific gizzard shad,fish,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma
Calamar,Dosidicus gigas,species,Dosidicus gigas,Jumbo flying squid,invert,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus
Calamar gigante,Dosidicus gigas,species,Dosidicus gigas,Jumbo flying squid,invert,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus
Calamar loligo,Dosidicus gigas,species,Dosidicus gigas,Jumbo flying squid,invert,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus
Pota,Dosidicus gigas,species,Dosidicus gigas,Jumbo flying squid,invert,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus
Almeja blanca,Dosinia ponderosa,species,Dosinia ponderosa,Ponderous dosinia,NA,NA,NA,NA,NA
Almeja parda,Dosinia ponderosa,species,Dosinia ponderosa,Ponderous dosinia,NA,NA,NA,NA,NA
Tiburon espinozo,Echinorhinus cookei,species,Echinorhinus cookei,Prickly shark,fish,Elasmobranchii,Squaliformes,Echinorhinidae,Echinorhinus
Alga egregia,Egregia sp,group,Egregia sp,NA,NA,NA,NA,NA,NA
Machete,Elops affinis,species,Elops affinis,Machete,fish,Actinopterygii,Elopiformes,Elopidae,Elops
Manjua,Engraulidae,group,Engraulidae,NA,NA,NA,NA,NA,NA
Anchoveta,Engraulis mordax,species,Engraulis mordax,Californian anchovy,fish,Actinopterygii,Clupeiformes,Engraulidae,Engraulis
Baqueta,Epinephelus acanthistius,species,Hyporthodus acanthistius,Rooster hind,fish,Actinopterygii,Perciformes,Serranidae,Hyporthodus
Pinta,Epinephelus analogus,species,Epinephelus analogus,Spotted grouper,fish,Actinopterygii,Perciformes,Serranidae,Epinephelus
Pintillo,Epinephelus analogus,species,Epinephelus analogus,Spotted grouper,fish,Actinopterygii,Perciformes,Serranidae,Epinephelus
Pilte,Epinephelus analogus,species,Epinephelus analogus,Spotted grouper,fish,Actinopterygii,Perciformes,Serranidae,Epinephelus
Gallina,Epinephelus cifuentesi,species,Epinephelus cifuentesi,Olive grouper,fish,Actinopterygii,Perciformes,Serranidae,Epinephelus
